Sucursal,Fechas,Year_Month,FCC_y_m,Count_CCont,FR_y_m,Count_Ret,FS_y_m,Count_Sin,CumSum_CCont,CumSum_Ret,CumSum_Sin,Pop_Actual,Pop_SinRetiros,Proporcion_Siniestros,Year,Month
NACIONAL,2015-01-01,2015-01,2015-01,9972.0,2015-01,1.0,2015-01,2.0,9972.0,1.0,2.0,9969.0,9971.0,0.00020058168689198675,2015,1
NACIONAL,2015-02-01,2015-02,2015-02,11709.0,2015-02,7.0,,0.0,21681.0,8.0,2.0,21671.0,21671.0,0.0,2015,2
NACIONAL,2015-03-01,2015-03,2015-03,15664.0,2015-03,27.0,2015-03,3.0,37345.0,35.0,5.0,37305.0,37308.0,8.041170794467674e-05,2015,3
NACIONAL,2015-04-01,2015-04,2015-04,12581.0,2015-04,31.0,2015-04,3.0,49926.0,66.0,8.0,49852.0,49855.0,6.017450606759603e-05,2015,4
NACIONAL,2015-05-01,2015-05,2015-05,12720.0,2015-05,35.0,2015-05,2.0,62646.0,101.0,10.0,62535.0,62537.0,3.198106720821274e-05,2015,5
NACIONAL,2015-06-01,2015-06,2015-06,12407.0,2015-06,53.0,2015-06,1.0,75053.0,154.0,11.0,74888.0,74889.0,1.3353095915287959e-05,2015,6
NACIONAL,2015-07-01,2015-07,2015-07,14219.0,2015-07,123.0,2015-07,3.0,89272.0,277.0,14.0,88981.0,88984.0,3.371392609907399e-05,2015,7
NACIONAL,2015-08-01,2015-08,2015-08,12982.0,2015-08,69.0,2015-08,16.0,102254.0,346.0,30.0,101878.0,101894.0,0.0001570259289065107,2015,8
NACIONAL,2015-09-01,2015-09,2015-09,17736.0,2015-09,56.0,2015-09,17.0,119990.0,402.0,47.0,119541.0,119558.0,0.00014219040131149734,2015,9
NACIONAL,2015-10-01,2015-10,2015-10,23965.0,2015-10,61.0,2015-10,19.0,143955.0,463.0,66.0,143426.0,143445.0,0.00013245494788943497,2015,10
NACIONAL,2015-11-01,2015-11,2015-11,13223.0,2015-11,92.0,2015-11,24.0,157178.0,555.0,90.0,156533.0,156557.0,0.0001532987985206666,2015,11
NACIONAL,2015-12-01,2015-12,2015-12,13243.0,2015-12,60.0,2015-12,24.0,170421.0,615.0,114.0,169692.0,169716.0,0.00014141271300289896,2015,12
NACIONAL,2016-01-01,2016-01,2016-01,11714.0,2016-01,78.0,2016-01,27.0,182135.0,693.0,141.0,181301.0,181328.0,0.0001489014382775964,2016,1
NACIONAL,2016-02-01,2016-02,2016-02,14313.0,2016-02,126.0,2016-02,25.0,196448.0,819.0,166.0,195463.0,195488.0,0.00012788508757570797,2016,2
NACIONAL,2016-03-01,2016-03,2016-03,12690.0,2016-03,101.0,2016-03,33.0,209138.0,920.0,199.0,208019.0,208052.0,0.00015861419260569472,2016,3
NACIONAL,2016-04-01,2016-04,2016-04,14074.0,2016-04,49.0,2016-04,24.0,223212.0,969.0,223.0,222020.0,222044.0,0.00010808668552178847,2016,4
NACIONAL,2016-05-01,2016-05,2016-05,15573.0,2016-05,102.0,2016-05,29.0,238785.0,1071.0,252.0,237462.0,237491.0,0.0001221098904800603,2016,5
NACIONAL,2016-06-01,2016-06,2016-06,13581.0,2016-06,100.0,2016-06,43.0,252366.0,1171.0,295.0,250900.0,250943.0,0.0001713536540170477,2016,6
NACIONAL,2016-07-01,2016-07,2016-07,16094.0,2016-07,66.0,2016-07,30.0,268460.0,1237.0,325.0,266898.0,266928.0,0.00011238985793921957,2016,7
NACIONAL,2016-08-01,2016-08,2016-08,17646.0,2016-08,75.0,2016-08,33.0,286106.0,1312.0,358.0,284436.0,284469.0,0.00011600561045316009,2016,8
NACIONAL,2016-09-01,2016-09,2016-09,17831.0,2016-09,99.0,2016-09,39.0,303937.0,1411.0,397.0,302129.0,302168.0,0.00012906727383442322,2016,9
NACIONAL,2016-10-01,2016-10,2016-10,15392.0,2016-10,116.0,2016-10,49.0,319329.0,1527.0,446.0,317356.0,317405.0,0.00015437690017485546,2016,10
NACIONAL,2016-11-01,2016-11,2016-11,16094.0,2016-11,286.0,2016-11,57.0,335423.0,1813.0,503.0,333107.0,333164.0,0.0001710869121513729,2016,11
NACIONAL,2016-12-01,2016-12,2016-12,11528.0,2016-12,147.0,2016-12,92.0,346951.0,1960.0,595.0,344396.0,344488.0,0.0002670630036459906,2016,12
NACIONAL,2017-01-01,2017-01,2017-01,11441.0,2017-01,87.0,2017-01,85.0,358392.0,2047.0,680.0,355665.0,355750.0,0.00023893183415319748,2017,1
NACIONAL,2017-02-01,2017-02,2017-02,13249.0,2017-02,54.0,2017-02,81.0,371641.0,2101.0,761.0,368779.0,368860.0,0.0002195955104917855,2017,2
NACIONAL,2017-03-01,2017-03,2017-03,16817.0,2017-03,65.0,2017-03,75.0,388458.0,2166.0,836.0,385456.0,385531.0,0.00019453688549040155,2017,3
NACIONAL,2017-04-01,2017-04,2017-04,14796.0,2017-04,41.0,2017-04,90.0,403254.0,2207.0,926.0,400121.0,400211.0,0.00022488137507464812,2017,4
NACIONAL,2017-05-01,2017-05,2017-05,16089.0,2017-05,74.0,2017-05,92.0,419343.0,2281.0,1018.0,416044.0,416136.0,0.0002210815694868985,2017,5
NACIONAL,2017-06-01,2017-06,2017-06,16840.0,2017-06,56.0,2017-06,69.0,436183.0,2337.0,1087.0,432759.0,432828.0,0.0001594166735978264,2017,6
NACIONAL,2017-07-01,2017-07,2017-07,15667.0,2017-07,53.0,2017-07,112.0,451850.0,2390.0,1199.0,448261.0,448373.0,0.0002497920258356324,2017,7
NACIONAL,2017-08-01,2017-08,2017-08,16200.0,2017-08,85.0,2017-08,115.0,468050.0,2475.0,1314.0,464261.0,464376.0,0.00024764415042982413,2017,8
NACIONAL,2017-09-01,2017-09,2017-09,17254.0,2017-09,68.0,2017-09,103.0,485304.0,2543.0,1417.0,481344.0,481447.0,0.0002139383982037483,2017,9
NACIONAL,2017-10-01,2017-10,2017-10,16593.0,2017-10,86.0,2017-10,100.0,501897.0,2629.0,1517.0,497751.0,497851.0,0.00020086331050856582,2017,10
NACIONAL,2017-11-01,2017-11,2017-11,15485.0,2017-11,83.0,2017-11,97.0,517382.0,2712.0,1614.0,513056.0,513153.0,0.00018902744405664587,2017,11
NACIONAL,2017-12-01,2017-12,2017-12,11828.0,2017-12,96.0,2017-12,96.0,529210.0,2808.0,1710.0,524692.0,524788.0,0.00018293101214204594,2017,12
NACIONAL,2018-01-01,2018-01,2018-01,15226.0,2018-01,92.0,2018-01,91.0,544436.0,2900.0,1801.0,539735.0,539826.0,0.0001685728364324801,2018,1
