Sucursal,Fechas,Year_Month,FCC_y_m,Count_Clientes_Contrato,Count_Contratos,Cumsum_Count_Clientes_Contrato,Cumsum_Count_Contratos,FR_y_m,Count_Clientes_Retirados,Count_Retirados,Cumsum_Count_Clientes_Retirados,Cumsum_Count_Retirados,FS_y_m,Count_Clientes_Siniestros,Count_Siniestros,Cumsum_Count_Clientes_Siniestros,Cumsum_Count_Siniestros,Cantidad_Contratos_Final,Cantidad_Clientes_Final,Pop_Clientes,Proporción Población x Contrato
NACIONAL,2015-01-01,2015-01,2015-01,9972.0,1546.0,9972.0,1546.0,2015-01,1.0,1.0,1.0,1.0,2015-01,2.0,2.0,2.0,2.0,1543.0,9969.0,0.15477981743404554,6.45019404915912
NACIONAL,2015-02-01,2015-02,2015-02,11709.0,1807.0,21681.0,3353.0,2015-02,7.0,6.0,8.0,7.0,,0.0,0.0,2.0,2.0,3344.0,21671.0,0.15430760001845784,6.479800774764803
NACIONAL,2015-03-01,2015-03,2015-03,15664.0,3139.0,37345.0,6492.0,2015-03,27.0,15.0,35.0,22.0,2015-03,3.0,1.0,5.0,3.0,6467.0,37305.0,0.17335477817986866,4.990124243389615
NACIONAL,2015-04-01,2015-04,2015-04,12581.0,2312.0,49926.0,8804.0,2015-04,31.0,17.0,66.0,39.0,2015-04,3.0,3.0,8.0,6.0,8759.0,49852.0,0.1757000722137527,5.4416089965397925
NACIONAL,2015-05-01,2015-05,2015-05,12720.0,1977.0,62646.0,10781.0,2015-05,35.0,27.0,101.0,66.0,2015-05,2.0,2.0,10.0,8.0,10707.0,62535.0,0.1712161189733749,6.433990895295903
NACIONAL,2015-06-01,2015-06,2015-06,12407.0,2244.0,75053.0,13025.0,2015-06,53.0,32.0,154.0,98.0,2015-06,1.0,1.0,11.0,9.0,12918.0,74888.0,0.1724975964106399,5.528966131907309
NACIONAL,2015-07-01,2015-07,2015-07,14219.0,2229.0,89272.0,15254.0,2015-07,123.0,53.0,277.0,151.0,2015-07,3.0,3.0,14.0,12.0,15091.0,88981.0,0.16959800406828424,6.37909376401974
NACIONAL,2015-08-01,2015-08,2015-08,12982.0,2096.0,102254.0,17350.0,2015-08,69.0,55.0,346.0,206.0,2015-08,16.0,16.0,30.0,28.0,17116.0,101878.0,0.16800486856828756,6.193702290076335
NACIONAL,2015-09-01,2015-09,2015-09,17736.0,3886.0,119990.0,21236.0,2015-09,56.0,54.0,402.0,260.0,2015-09,17.0,17.0,47.0,45.0,20931.0,119541.0,0.17509473737044193,4.564076170869789
NACIONAL,2015-10-01,2015-10,2015-10,23965.0,6512.0,143955.0,27748.0,2015-10,61.0,57.0,463.0,317.0,2015-10,19.0,19.0,66.0,64.0,27367.0,143426.0,0.1908091977744621,3.6801289926289926
