,Sucursal,Rango_Edad,Fechas,Year_Month,FCC_y_m,Count_CCont,FR_y_m,Count_Ret,FS_y_m,Count_Sin,CumSum_CCont,CumSum_Ret,CumSum_Sin,Pop_Actual,Pop_SinRetiros,Proporcion_Siniestros,Year,Month
0,TOLIMA,15-44,2015-01-01,2015-01,2015-01,361.0,,0.0,,0.0,361.0,0.0,0.0,361.0,361.0,0.0,2015,1
1,TOLIMA,15-44,2015-02-01,2015-02,2015-02,528.0,,0.0,,0.0,889.0,0.0,0.0,889.0,889.0,0.0,2015,2
2,TOLIMA,15-44,2015-03-01,2015-03,2015-03,499.0,2015-03,1.0,,0.0,1388.0,1.0,0.0,1387.0,1387.0,0.0,2015,3
3,TOLIMA,15-44,2015-04-01,2015-04,2015-04,429.0,2015-04,1.0,,0.0,1817.0,2.0,0.0,1816.0,1816.0,0.0,2015,4
4,TOLIMA,15-44,2015-05-01,2015-05,2015-05,436.0,,0.0,,0.0,2253.0,2.0,0.0,2253.0,2253.0,0.0,2015,5
5,TOLIMA,15-44,2015-06-01,2015-06,2015-06,416.0,,0.0,,0.0,2669.0,2.0,0.0,2669.0,2669.0,0.0,2015,6
6,TOLIMA,15-44,2015-07-01,2015-07,2015-07,507.0,2015-07,4.0,,0.0,3176.0,6.0,0.0,3172.0,3172.0,0.0,2015,7
7,TOLIMA,15-44,2015-08-01,2015-08,2015-08,366.0,,0.0,,0.0,3542.0,6.0,0.0,3542.0,3542.0,0.0,2015,8
8,TOLIMA,15-44,2015-09-01,2015-09,2015-09,234.0,2015-09,1.0,,0.0,3776.0,7.0,0.0,3775.0,3775.0,0.0,2015,9
9,TOLIMA,15-44,2015-10-01,2015-10,2015-10,389.0,2015-10,3.0,2015-10,1.0,4165.0,10.0,1.0,4161.0,4162.0,0.0002402691013935608,2015,10
10,TOLIMA,15-44,2015-11-01,2015-11,2015-11,383.0,2015-11,2.0,,0.0,4548.0,12.0,1.0,4546.0,4546.0,0.0,2015,11
11,TOLIMA,15-44,2015-12-01,2015-12,2015-12,381.0,2015-12,1.0,,0.0,4929.0,13.0,1.0,4928.0,4928.0,0.0,2015,12
12,TOLIMA,15-44,2016-01-01,2016-01,2016-01,294.0,2016-01,1.0,2016-01,1.0,5223.0,14.0,2.0,5221.0,5222.0,0.00019149751053236308,2016,1
13,TOLIMA,15-44,2016-02-01,2016-02,2016-02,235.0,2016-02,2.0,,0.0,5458.0,16.0,2.0,5456.0,5456.0,0.0,2016,2
14,TOLIMA,15-44,2016-03-01,2016-03,2016-03,382.0,2016-03,3.0,,0.0,5840.0,19.0,2.0,5837.0,5837.0,0.0,2016,3
15,TOLIMA,15-44,2016-04-01,2016-04,2016-04,325.0,2016-04,4.0,,0.0,6165.0,23.0,2.0,6161.0,6161.0,0.0,2016,4
16,TOLIMA,15-44,2016-05-01,2016-05,2016-05,430.0,,0.0,,0.0,6595.0,23.0,2.0,6595.0,6595.0,0.0,2016,5
17,TOLIMA,15-44,2016-06-01,2016-06,2016-06,275.0,2016-06,4.0,,0.0,6870.0,27.0,2.0,6866.0,6866.0,0.0,2016,6
18,TOLIMA,15-44,2016-07-01,2016-07,2016-07,692.0,2016-07,1.0,,0.0,7562.0,28.0,2.0,7561.0,7561.0,0.0,2016,7
19,TOLIMA,15-44,2016-08-01,2016-08,2016-08,557.0,,0.0,,0.0,8119.0,28.0,2.0,8119.0,8119.0,0.0,2016,8
20,TOLIMA,15-44,2016-09-01,2016-09,2016-09,574.0,2016-09,1.0,,0.0,8693.0,29.0,2.0,8692.0,8692.0,0.0,2016,9
21,TOLIMA,15-44,2016-10-01,2016-10,2016-10,801.0,2016-10,5.0,2016-10,1.0,9494.0,34.0,3.0,9488.0,9489.0,0.00010538518284329223,2016,10
