Sucursal,Fechas,Year_Month,FCC_y_m,Count_CCont,FR_y_m,Count_Ret,FS_y_m,Count_Sin,CumSum_CCont,CumSum_Ret,CumSum_Sin,Pop_Actual,Pop_SinRetiros,Proporcion_Siniestros,Year,Month
NACIONAL,2015-01-01,2015-01,2015-01,9972.0,2015-01,1.0,2015-01,2.0,9972.0,1.0,2.0,9969.0,9971.0,0.00020058168689198675,2015,1
NACIONAL,2015-02-01,2015-02,2015-02,11709.0,2015-02,7.0,,0.0,21681.0,8.0,2.0,21674.0,21674.0,0.0,2015,2
NACIONAL,2015-03-01,2015-03,2015-03,15664.0,2015-03,27.0,2015-03,3.0,37345.0,35.0,5.0,37315.0,37318.0,8.039016024438609e-05,2015,3
NACIONAL,2015-04-01,2015-04,2015-04,12581.0,2015-04,31.0,2015-04,3.0,49926.0,66.0,8.0,49892.0,49895.0,6.012626515682934e-05,2015,4
NACIONAL,2015-05-01,2015-05,2015-05,12720.0,2015-05,35.0,2015-05,2.0,62646.0,101.0,10.0,62609.0,62611.0,3.194326875469167e-05,2015,5
NACIONAL,2015-06-01,2015-06,2015-06,12407.0,2015-06,53.0,2015-06,1.0,75053.0,154.0,11.0,74999.0,75000.0,1.3333333333333333e-05,2015,6
NACIONAL,2015-07-01,2015-07,2015-07,14219.0,2015-07,123.0,2015-07,3.0,89272.0,277.0,14.0,89146.0,89149.0,3.365152721847693e-05,2015,7
NACIONAL,2015-08-01,2015-08,2015-08,12982.0,2015-08,69.0,2015-08,16.0,102254.0,346.0,30.0,102169.0,102185.0,0.00015657875422028675,2015,8
NACIONAL,2015-09-01,2015-09,2015-09,17736.0,2015-09,56.0,2015-09,17.0,119990.0,402.0,47.0,119917.0,119934.0,0.00014174462621108276,2015,9
NACIONAL,2015-10-01,2015-10,2015-10,23965.0,2015-10,61.0,2015-10,19.0,143955.0,463.0,66.0,143875.0,143894.0,0.00013204164176407632,2015,10
NACIONAL,2015-11-01,2015-11,2015-11,13223.0,2015-11,92.0,2015-11,24.0,157178.0,555.0,90.0,157062.0,157086.0,0.00015278255223253505,2015,11
NACIONAL,2015-12-01,2015-12,2015-12,13243.0,2015-12,60.0,2015-12,24.0,170421.0,615.0,114.0,170337.0,170361.0,0.00014087731346963214,2015,12
NACIONAL,2016-01-01,2016-01,2016-01,11714.0,2016-01,78.0,2016-01,27.0,182135.0,693.0,141.0,182030.0,182057.0,0.00014830520111833108,2016,1
NACIONAL,2016-02-01,2016-02,2016-02,14313.0,2016-02,126.0,2016-02,25.0,196448.0,819.0,166.0,196297.0,196322.0,0.00012734181599616956,2016,2
NACIONAL,2016-03-01,2016-03,2016-03,12690.0,2016-03,101.0,2016-03,33.0,209138.0,920.0,199.0,209004.0,209037.0,0.0001578667891330243,2016,3
NACIONAL,2016-04-01,2016-04,2016-04,14074.0,2016-04,49.0,2016-04,24.0,223212.0,969.0,223.0,223139.0,223163.0,0.00010754470947244839,2016,4
NACIONAL,2016-05-01,2016-05,2016-05,15573.0,2016-05,102.0,2016-05,29.0,238785.0,1071.0,252.0,238654.0,238683.0,0.00012150006493968988,2016,5
NACIONAL,2016-06-01,2016-06,2016-06,13581.0,2016-06,100.0,2016-06,43.0,252366.0,1171.0,295.0,252223.0,252266.0,0.00017045499591700824,2016,6
NACIONAL,2016-07-01,2016-07,2016-07,16094.0,2016-07,66.0,2016-07,30.0,268460.0,1237.0,325.0,268364.0,268394.0,0.00011177597114689598,2016,7
NACIONAL,2016-08-01,2016-08,2016-08,17646.0,2016-08,75.0,2016-08,33.0,286106.0,1312.0,358.0,285998.0,286031.0,0.00011537211001604721,2016,8
NACIONAL,2016-09-01,2016-09,2016-09,17831.0,2016-09,99.0,2016-09,39.0,303937.0,1411.0,397.0,303799.0,303838.0,0.00012835787492018774,2016,9
NACIONAL,2016-10-01,2016-10,2016-10,15392.0,2016-10,116.0,2016-10,49.0,319329.0,1527.0,446.0,319164.0,319213.0,0.00015350252026076632,2016,10
NACIONAL,2016-11-01,2016-11,2016-11,16094.0,2016-11,286.0,2016-11,57.0,335423.0,1813.0,503.0,335080.0,335137.0,0.0001700796987500634,2016,11
NACIONAL,2016-12-01,2016-12,2016-12,11528.0,2016-12,147.0,2016-12,92.0,346951.0,1960.0,595.0,346712.0,346804.0,0.0002652795238809241,2016,12
NACIONAL,2017-01-01,2017-01,2017-01,11441.0,2017-01,87.0,2017-01,85.0,358392.0,2047.0,680.0,358220.0,358305.0,0.00023722805989310783,2017,1
NACIONAL,2017-02-01,2017-02,2017-02,13249.0,2017-02,54.0,2017-02,81.0,371641.0,2101.0,761.0,371506.0,371587.0,0.00021798394454057866,2017,2
NACIONAL,2017-03-01,2017-03,2017-03,16817.0,2017-03,65.0,2017-03,75.0,388458.0,2166.0,836.0,388318.0,388393.0,0.00019310337724933252,2017,3
NACIONAL,2017-04-01,2017-04,2017-04,14796.0,2017-04,41.0,2017-04,90.0,403254.0,2207.0,926.0,403123.0,403213.0,0.00022320708905714846,2017,4
NACIONAL,2017-05-01,2017-05,2017-05,16089.0,2017-05,74.0,2017-05,92.0,419343.0,2281.0,1018.0,419177.0,419269.0,0.0002194295309216756,2017,5
NACIONAL,2017-06-01,2017-06,2017-06,16840.0,2017-06,56.0,2017-06,69.0,436183.0,2337.0,1087.0,436058.0,436127.0,0.0001582107963964625,2017,6
