,YEAR,MONTH,Rate Death per 100000 inhabitants,DEPARTMENT,dateInt,Date,Year_Month,Death Rate
0,2018,1,14.154921759752884,ATLANTICO,2018011,2018-01-01,2018-01,0.00014154921759752885
1,2018,2,19.88724654369881,ATLANTICO,2018021,2018-02-01,2018-02,0.0001988724654369881
2,2018,3,18.92745664804213,ATLANTICO,2018031,2018-03-01,2018-03,0.00018927456648042132
3,2018,4,20.66977139526695,ATLANTICO,2018041,2018-04-01,2018-04,0.0002066977139526695
4,2018,5,14.543665285197722,ATLANTICO,2018051,2018-05-01,2018-05,0.0001454366528519772
5,2018,6,14.37658365890025,ATLANTICO,2018061,2018-06-01,2018-06,0.0001437658365890025
6,2018,7,15.552541885137655,ATLANTICO,2018071,2018-07-01,2018-07,0.00015552541885137654
7,2018,8,15.872506340643769,ATLANTICO,2018081,2018-08-01,2018-08,0.00015872506340643768
8,2018,9,12.293313268948443,ATLANTICO,2018091,2018-09-01,2018-09,0.00012293313268948444
9,2018,10,17.83223697611957,ATLANTICO,2018101,2018-10-01,2018-10,0.00017832236976119572
10,2018,11,19.397590651266054,ATLANTICO,2018111,2018-11-01,2018-11,0.00019397590651266055
11,2018,12,20.225982748476756,ATLANTICO,2018121,2018-12-01,2018-12,0.00020225982748476757
12,2018,1,12.811888678224564,BOGOTA D.C.,2018011,2018-01-01,2018-01,0.00012811888678224565
13,2018,2,10.385388860293132,BOGOTA D.C.,2018021,2018-02-01,2018-02,0.00010385388860293132
14,2018,3,11.259808600046886,BOGOTA D.C.,2018031,2018-03-01,2018-03,0.00011259808600046887
15,2018,4,12.819426233997492,BOGOTA D.C.,2018041,2018-04-01,2018-04,0.00012819426233997492
16,2018,5,13.38646487934598,BOGOTA D.C.,2018051,2018-05-01,2018-05,0.0001338646487934598
17,2018,6,11.413600477779596,BOGOTA D.C.,2018061,2018-06-01,2018-06,0.00011413600477779596
18,2018,7,14.1164005935925,BOGOTA D.C.,2018071,2018-07-01,2018-07,0.000141164005935925
19,2018,8,13.703993515686136,BOGOTA D.C.,2018081,2018-08-01,2018-08,0.00013703993515686136
20,2018,9,12.129757053170302,BOGOTA D.C.,2018091,2018-09-01,2018-09,0.00012129757053170302
21,2018,10,12.478407860971494,BOGOTA D.C.,2018101,2018-10-01,2018-10,0.00012478407860971495
22,2018,11,9.999324116647475,BOGOTA D.C.,2018111,2018-11-01,2018-11,9.999324116647476e-05
23,2018,12,14.020688280354204,BOGOTA D.C.,2018121,2018-12-01,2018-12,0.00014020688280354203
24,2018,1,15.763914790380571,HUILA,2018011,2018-01-01,2018-01,0.0001576391479038057
25,2018,2,15.92734593027298,HUILA,2018021,2018-02-01,2018-02,0.0001592734593027298
26,2018,3,17.751952349871686,HUILA,2018031,2018-03-01,2018-03,0.00017751952349871687
27,2018,4,9.796268079482411,HUILA,2018041,2018-04-01,2018-04,9.796268079482411e-05
28,2018,5,13.037117836570408,HUILA,2018051,2018-05-01,2018-05,0.00013037117836570407
29,2018,6,17.672881157476702,HUILA,2018061,2018-06-01,2018-06,0.00017672881157476702
30,2018,7,11.576900681056056,HUILA,2018071,2018-07-01,2018-07,0.00011576900681056056
31,2018,8,10.002300675821372,HUILA,2018081,2018-08-01,2018-08,0.00010002300675821373
32,2018,9,9.659736786151914,HUILA,2018091,2018-09-01,2018-09,9.659736786151914e-05
33,2018,10,11.080039923828654,HUILA,2018101,2018-10-01,2018-10,0.00011080039923828654
34,2018,11,12.794648261414691,HUILA,2018111,2018-11-01,2018-11,0.0001279464826141469
35,2018,12,20.17409807773181,HUILA,2018121,2018-12-01,2018-12,0.0002017409807773181
36,2018,1,28.762098498542628,NARIÑO,2018011,2018-01-01,2018-01,0.00028762098498542627
37,2018,2,25.57765566494558,NARIÑO,2018021,2018-02-01,2018-02,0.0002557765566494558
38,2018,3,21.335522567904302,NARIÑO,2018031,2018-03-01,2018-03,0.00021335522567904303
39,2018,4,19.11297174153457,NARIÑO,2018041,2018-04-01,2018-04,0.0001911297174153457
40,2018,5,26.044633475890265,NARIÑO,2018051,2018-05-01,2018-05,0.0002604463347589026
41,2018,6,36.52601625959587,NARIÑO,2018061,2018-06-01,2018-06,0.0003652601625959587
42,2018,7,22.59977295949368,NARIÑO,2018071,2018-07-01,2018-07,0.00022599772959493682
43,2018,8,32.16328253753629,NARIÑO,2018081,2018-08-01,2018-08,0.0003216328253753629
44,2018,9,13.453558150751997,NARIÑO,2018091,2018-09-01,2018-09,0.00013453558150751998
45,2018,10,16.514775204720966,NARIÑO,2018101,2018-10-01,2018-10,0.00016514775204720965
46,2018,11,19.268184659831096,NARIÑO,2018111,2018-11-01,2018-11,0.00019268184659831095
47,2018,12,26.536275451508743,NARIÑO,2018121,2018-12-01,2018-12,0.00026536275451508745
48,2018,1,15.5040018315135,SANTANDER,2018011,2018-01-01,2018-01,0.000155040018315135
49,2018,2,24.481152977398143,SANTANDER,2018021,2018-02-01,2018-02,0.0002448115297739814
50,2018,3,27.185780186377603,SANTANDER,2018031,2018-03-01,2018-03,0.00027185780186377603
51,2018,4,22.35002087563343,SANTANDER,2018041,2018-04-01,2018-04,0.0002235002087563343
52,2018,5,26.30732620918168,SANTANDER,2018051,2018-05-01,2018-05,0.0002630732620918168
53,2018,6,21.811173832497182,SANTANDER,2018061,2018-06-01,2018-06,0.00021811173832497183
54,2018,7,18.738756962898453,SANTANDER,2018071,2018-07-01,2018-07,0.00018738756962898454
55,2018,8,17.548512464948136,SANTANDER,2018081,2018-08-01,2018-08,0.00017548512464948135
56,2018,9,25.821221498990475,SANTANDER,2018091,2018-09-01,2018-09,0.00025821221498990474
